area_type,availability,location,size,society,bath,balcony,price,total_squaremeter
Built-up Area,12-Dec,Beşiktaş,3+1,Yakamoz Sitesi,2,1,13544775,202.52854
Plot Area,05-May,Şişli,1+1,Mavi Apartman,2,2,20342338,226.68332
Built-up Area,30-Jan,Fatih,4+1,Kule Evleri,2,1,7550492,78.96755
Built-up Area,06-Jun,Ataşehir,1+1,Kule Evleri,1,1,13241066,192.30921
Plot Area,29-Jan,Maltepe,3+1,Mavi Apartman,1,1,8103845,140.28353
Built-up Area,13-Oct,Fatih,4+1,Kule Evleri,2,1,20055141,173.72861
Plot Area,16-Dec,Fatih,3+1,Mavi Apartman,1,1,14987637,136.56741
Built-up Area,26-Nov,Maltepe,4+1,Park Bahçesi,2,2,5432268,73.39337
Built-up Area,03-Oct,Kadıköy,2+1,Kule Evleri,1,2,6087664,88.25785
Super built-up Area,23-Oct,Fatih,5+1,Bosphorus View,3,2,10696340,97.54815
Super built-up Area,15-May,Beşiktaş,5+1,Panorama Evleri,4,0,8548263,91.97397000000001
Built-up Area,30-Aug,Beşiktaş,3+1,Mavi Apartman,1,0,12241827,130.0642
Plot Area,16-Aug,Beşiktaş,4+1,Yakamoz Sitesi,4,1,12583764,151.43189
Super built-up Area,27-Jan,Kadıköy,4+1,Yakamoz Sitesi,2,0,10671320,117.98681
Plot Area,24-Aug,Maltepe,1+1,Yakamoz Sitesi,1,2,7238326,110.55457
Built-up Area,11-Apr,Kadıköy,2+1,Yakamoz Sitesi,3,1,13288240,172.79958
Plot Area,15-Jun,Fatih,4+1,Panorama Evleri,1,1,7266986,107.76748
Plot Area,22-Aug,Ataşehir,5+1,Denizpark Konakları,2,2,11165968,157.9351
Plot Area,22-Oct,Ataşehir,2+1,Panorama Evleri,3,0,15804218,196.02533
Built-up Area,28-Sep,Fatih,5+1,Mavi Apartman,4,2,11399875,106.83845000000001
Built-up Area,09-Jun,Kadıköy,1+1,Mavi Apartman,1,1,17860722,228.54138
Super built-up Area,12-Oct,Kadıköy,4+1,Denizpark Konakları,2,1,9070992,117.05778000000001
Plot Area,20-Jan,Beşiktaş,5+1,Kule Evleri,3,0,7575931,81.75464
Super built-up Area,20-Apr,Fatih,1+1,Park Bahçesi,1,1,14731267,194.16727
Plot Area,18-Dec,Fatih,2+1,Mavi Apartman,2,0,15238524,149.57383000000002
Built-up Area,26-Jan,Ataşehir,1+1,Mavi Apartman,1,0,6137161,92.903
Super built-up Area,24-Jun,Beşiktaş,5+1,Panorama Evleri,1,1,5763588,55.7418
Super built-up Area,02-Feb,Ataşehir,3+1,Park Bahçesi,4,0,12994473,175.58667
Plot Area,12-Jan,Fatih,2+1,Yakamoz Sitesi,3,2,17603449,208.10272
Plot Area,11-Oct,Kadıköy,1+1,Panorama Evleri,1,0,14358984,176.5157
Super built-up Area,18-Oct,Ataşehir,4+1,Denizpark Konakları,1,0,6766070,80.82561
Built-up Area,13-Dec,Maltepe,1+1,Yakamoz Sitesi,2,1,13629130,196.95436
Built-up Area,02-Dec,Beşiktaş,2+1,Panorama Evleri,3,2,12613303,157.00607
Plot Area,06-Sep,Fatih,5+1,Denizpark Konakları,1,2,10935024,104.98039
Plot Area,12-Jun,Şişli,4+1,Park Bahçesi,4,2,7659978,79.89658
Plot Area,22-Dec,Beşiktaş,5+1,Mavi Apartman,1,1,11279832,193.23824000000002
Built-up Area,19-Aug,Beşiktaş,1+1,Kule Evleri,2,0,9623334,89.18688
Built-up Area,16-Dec,Şişli,3+1,Park Bahçesi,1,2,3963400,61.31598
Built-up Area,21-Jun,Kadıköy,2+1,Kule Evleri,1,1,6313010,75.25143
Plot Area,26-Jan,Kadıköy,2+1,Yakamoz Sitesi,2,1,15921719,209.03175000000002
Built-up Area,06-Dec,Beşiktaş,5+1,Panorama Evleri,4,1,25209995,228.54138
Super built-up Area,13-Jan,Beşiktaş,1+1,Panorama Evleri,2,0,13511223,124.49002
Plot Area,14-Mar,Ataşehir,5+1,Yakamoz Sitesi,3,2,4565713,68.74822
Super built-up Area,25-Jul,Kadıköy,2+1,Bosphorus View,3,1,8951061,109.62554
Plot Area,01-May,Fatih,2+1,Bosphorus View,3,2,11704571,109.62554
Plot Area,22-Jun,Beşiktaş,2+1,Bosphorus View,2,2,13338323,150.50286
Plot Area,24-Apr,Fatih,4+1,Mavi Apartman,4,1,13763736,178.37376
Built-up Area,25-Feb,Ataşehir,5+1,Kule Evleri,1,2,7266643,102.19330000000001
Super built-up Area,11-May,Şişli,3+1,Park Bahçesi,1,2,12476961,143.07062
Plot Area,16-Mar,Şişli,4+1,Bosphorus View,1,1,5012218,62.24501
Super built-up Area,14-Feb,Bahçelievler,5+1,Denizpark Konakları,2,1,10361977,140.28353
Plot Area,02-Dec,Maltepe,4+1,Denizpark Konakları,4,1,4075745,82.68367
Plot Area,30-Jul,Ataşehir,5+1,Bosphorus View,1,1,6191412,69.67725
Super built-up Area,07-May,Maltepe,3+1,Kule Evleri,4,1,11628932,175.58667
Super built-up Area,17-Jan,Bahçelievler,3+1,Denizpark Konakları,2,0,6586983,92.903
Built-up Area,27-Jun,Kadıköy,3+1,Kule Evleri,4,1,4948005,61.31598
Super built-up Area,22-Feb,Kadıköy,2+1,Park Bahçesi,1,0,18416486,221.10914
Super built-up Area,09-Dec,Maltepe,2+1,Mavi Apartman,1,2,14121295,202.52854
Plot Area,12-Feb,Şişli,1+1,Kule Evleri,2,0,7348003,95.69009
Built-up Area,21-Dec,Kadıköy,2+1,Kule Evleri,2,0,4709447,58.528890000000004
Plot Area,13-May,Beşiktaş,2+1,Bosphorus View,3,2,14212601,167.2254
Built-up Area,28-Jan,Bahçelievler,2+1,Mavi Apartman,2,2,7759293,120.7739
Built-up Area,26-Aug,Kadıköy,1+1,Bosphorus View,1,1,10418810,144.92868
Built-up Area,15-Mar,Ataşehir,2+1,Park Bahçesi,3,1,6852443,81.75464
Super built-up Area,09-Sep,Şişli,3+1,Mavi Apartman,4,2,14216127,211.81884
Plot Area,05-Jul,Kadıköy,1+1,Bosphorus View,2,0,13391343,169.08346
Plot Area,21-Jul,Beşiktaş,3+1,Mavi Apartman,4,1,11160473,122.63196
Built-up Area,15-Nov,Fatih,1+1,Denizpark Konakları,2,0,5940120,68.74822
Plot Area,07-Feb,Maltepe,4+1,Kule Evleri,2,2,8974273,141.21256
Built-up Area,03-Sep,Maltepe,2+1,Mavi Apartman,2,2,4513361,57.59986
Built-up Area,26-Nov,Kadıköy,5+1,Yakamoz Sitesi,4,0,11717345,132.85129
Built-up Area,05-May,Ataşehir,3+1,Denizpark Konakları,1,0,11610467,114.27069
Super built-up Area,02-Aug,Ataşehir,1+1,Panorama Evleri,1,2,12759433,160.72219
Built-up Area,14-Mar,Beşiktaş,3+1,Mavi Apartman,2,0,12149603,138.42547
Plot Area,13-Jan,Beşiktaş,4+1,Panorama Evleri,1,2,16741911,162.58025
Built-up Area,31-Mar,Bahçelievler,5+1,Park Bahçesi,4,0,11023351,197.88339
Super built-up Area,04-May,Beşiktaş,5+1,Mavi Apartman,1,0,19942661,186.73503
Built-up Area,24-Sep,Fatih,4+1,Mavi Apartman,2,1,19754610,225.75429
Plot Area,23-Oct,Ataşehir,5+1,Denizpark Konakları,1,1,4150112,65.0321
Super built-up Area,12-Aug,Ataşehir,3+1,Bosphorus View,2,0,7653462,135.63838
Plot Area,25-Aug,Fatih,3+1,Denizpark Konakları,4,0,6527519,66.89016000000001
Built-up Area,13-Jan,Bahçelievler,2+1,Yakamoz Sitesi,3,0,10619875,143.07062
Super built-up Area,10-Mar,Fatih,2+1,Denizpark Konakları,3,0,18913189,196.95436
Built-up Area,19-Aug,Bahçelievler,5+1,Bosphorus View,3,2,7678215,105.90942
Built-up Area,30-Jul,Fatih,2+1,Bosphorus View,3,1,7188405,79.89658
Built-up Area,01-Jul,Beşiktaş,3+1,Denizpark Konakları,4,2,9396640,97.54815
Plot Area,24-Oct,Beşiktaş,4+1,Kule Evleri,4,2,13515758,117.98681
Super built-up Area,07-Jan,Fatih,5+1,Yakamoz Sitesi,1,2,11579052,134.70935
Plot Area,24-May,Şişli,3+1,Kule Evleri,3,2,24497017,209.96078
Plot Area,30-Sep,Ataşehir,5+1,Mavi Apartman,3,0,10095499,158.86413000000002
Plot Area,23-Apr,Ataşehir,2+1,Panorama Evleri,3,2,5483634,84.54173
Built-up Area,19-Feb,Beşiktaş,1+1,Bosphorus View,1,0,10715010,139.3545
Plot Area,23-Oct,Kadıköy,2+1,Kule Evleri,1,1,16965559,227.61235
Plot Area,26-Jan,Bahçelievler,3+1,Park Bahçesi,2,1,8455786,147.71577
Built-up Area,09-Oct,Maltepe,4+1,Mavi Apartman,1,1,14888026,202.52854
Super built-up Area,16-Sep,Kadıköy,3+1,Mavi Apartman,4,2,18222108,201.59951
Super built-up Area,02-Nov,Bahçelievler,4+1,Mavi Apartman,3,2,12474842,179.30279000000002
Built-up Area,11-Mar,Beşiktaş,1+1,Yakamoz Sitesi,1,0,11890751,178.37376
Plot Area,08-Feb,Kadıköy,4+1,Panorama Evleri,3,0,7846988,72.46434
Super built-up Area,17-Oct,Maltepe,1+1,Park Bahçesi,1,0,17649025,208.10272
Built-up Area,19-Feb,Kadıköy,1+1,Bosphorus View,1,2,14002690,215.53496
Plot Area,27-Dec,Şişli,3+1,Denizpark Konakları,4,2,10845965,130.0642
